"","denominator_value","numerator_value","drug_concept_id","drug_name","conc_1_exct","conc_2_exct","conc_3_exct","conc_4_exct","conc_5_exct","conc_6_exct","conc_7_exct","conc_8_exct","conc_9_exct"
"1",500,575,586582,"500 MG cefepime 1.15 MG/MG Injection Box of 5",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"2",505,581,586894,"505 MG cefepime 1.15 MG/MG Injection Box of 5",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"3",500,575,586940,"500 MG cefepime 1.15 MG/MG Injection",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"4",1990,2290,587126,"1990 MG cefepime 1.15 MG/MG Injection",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"5",1000,1150,587431,"1000 MG cefepime 1.15 MG/MG Injection",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"6",505,581,587436,"505 MG cefepime 1.15 MG/MG Injection",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"7",1990,2290,587498,"1990 MG cefepime 1.15 MG/MG Injection Box of 5",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,0.413,587653,"cajuput oil 0.631 MG/MG / Camphor 1.21 MG/MG / LEVOMENTHOL 0.413 MG/MG / Mentha piperita extract 0.777 MG/MG / Syzygium aromaticum whole extract 0.0728 MG/MG Topical Ointment Box of 1",0.631,1.21,0.413,0.777,0.0728,NA,NA,NA,NA
"9",NA,0.777,587653,"cajuput oil 0.631 MG/MG / Camphor 1.21 MG/MG / LEVOMENTHOL 0.413 MG/MG / Mentha piperita extract 0.777 MG/MG / Syzygium aromaticum whole extract 0.0728 MG/MG Topical Ointment Box of 1",0.631,1.21,0.413,0.777,0.0728,NA,NA,NA,NA
"10",NA,1.21,587653,"cajuput oil 0.631 MG/MG / Camphor 1.21 MG/MG / LEVOMENTHOL 0.413 MG/MG / Mentha piperita extract 0.777 MG/MG / Syzygium aromaticum whole extract 0.0728 MG/MG Topical Ointment Box of 1",0.631,1.21,0.413,0.777,0.0728,NA,NA,NA,NA
"11",NA,0.631,587653,"cajuput oil 0.631 MG/MG / Camphor 1.21 MG/MG / LEVOMENTHOL 0.413 MG/MG / Mentha piperita extract 0.777 MG/MG / Syzygium aromaticum whole extract 0.0728 MG/MG Topical Ointment Box of 1",0.631,1.21,0.413,0.777,0.0728,NA,NA,NA,NA
"12",NA,0.0728,587653,"cajuput oil 0.631 MG/MG / Camphor 1.21 MG/MG / LEVOMENTHOL 0.413 MG/MG / Mentha piperita extract 0.777 MG/MG / Syzygium aromaticum whole extract 0.0728 MG/MG Topical Ointment Box of 1",0.631,1.21,0.413,0.777,0.0728,NA,NA,NA,NA
