"","name","n"
"1","pattern_notna1",0
"2","pattern_isna1",0
"3","pattern_notna2",0
"4","pattern_isna2",0
"5","pattern_notna3",0
"6","pattern_isna3",0
"7","pattern_notna4",0
"8","pattern_isna4",0
"9","pattern_notna5",0
"10","pattern_isna5",0
"11","pattern_notna6",0
"12","pattern_isna6",0
"13","pattern_notna7",0
"14","pattern_isna7",11333
"15","pattern_notna8",5436
"16","pattern_isna8",1595
"17","pattern_notna9",0
"18","pattern_isna9",0
"19","pattern_notna10",2666
"20","pattern_isna10",40123
"21","pattern_notna11",29473
"22","pattern_isna11",101736
"23","pattern_notna12",0
"24","pattern_isna12",49
"25","pattern_notna13",0
"26","pattern_isna13",0
"27","pattern_notna14",0
"28","pattern_isna14",71
