"pattern_file_id","pattern_id","formula_id","validity","number_concepts","number_ingredients","number_records","amount_numeric","amount_unit_concept_id","numerator_numeric","numerator_unit_concept_id","denominator_numeric","denominator_unit_concept_id","cdm_name"
1,1,2,"pattern with formula",649,50,0,1,8718,0,NA,0,NA,"CPRD GOLD"
1,1,NA,"pattern wrong route",378,51,0,1,8718,0,NA,0,NA,"CPRD GOLD"
2,2,2,"pattern with formula",3,2,0,1,9655,0,NA,0,NA,"CPRD GOLD"
2,2,NA,"pattern wrong route",3,2,0,1,9655,0,NA,0,NA,"CPRD GOLD"
3,3,2,"pattern with formula",147,12,0,1,9551,0,NA,0,NA,"CPRD GOLD"
3,3,NA,"pattern wrong route",101,12,0,1,9551,0,NA,0,NA,"CPRD GOLD"
4,4,2,"pattern with formula",678684,5285,1928083315,1,8576,0,NA,0,NA,"CPRD GOLD"
4,4,NA,"pattern wrong route",126769,5309,8720299,1,8576,0,NA,0,NA,"CPRD GOLD"
5,5,2,"pattern with formula",586,36,0,1,8587,0,NA,0,NA,"CPRD GOLD"
5,5,NA,"pattern wrong route",170,37,0,1,8587,0,NA,0,NA,"CPRD GOLD"
6,6,3,"pattern with formula",6,2,0,0,NA,1,9655,1,8505,"CPRD GOLD"
7,7,3,"pattern with formula",6914,231,6276214,0,NA,1,8576,1,8505,"CPRD GOLD"
7,7,NA,"pattern wrong route",10,4,0,0,NA,1,8576,1,8505,"CPRD GOLD"
8,8,4,"pattern with formula",2,2,0,0,NA,1,9655,0,8505,"CPRD GOLD"
8,8,NA,"pattern wrong route",3,2,0,0,NA,1,9655,0,8505,"CPRD GOLD"
9,9,4,"pattern with formula",4279,30,3858993,0,NA,1,8576,0,8505,"CPRD GOLD"
9,9,NA,"pattern wrong route",1078,30,0,0,NA,1,8576,0,8505,"CPRD GOLD"
10,10,1,"pattern with formula",16821,1280,1211494,0,NA,1,8576,0,8576,"CPRD GOLD"
10,10,NA,"pattern wrong route",65511,2220,164057414,0,NA,1,8576,0,8576,"CPRD GOLD"
11,11,1,"pattern with formula",140072,4320,84870568,0,NA,1,8576,0,8587,"CPRD GOLD"
11,11,NA,"pattern wrong route",123866,4908,122268500,0,NA,1,8576,0,8587,"CPRD GOLD"
12,12,1,"pattern with formula",634,102,19464,0,NA,1,8587,0,8587,"CPRD GOLD"
12,12,NA,"pattern wrong route",1994,164,10,0,NA,1,8587,0,8587,"CPRD GOLD"
13,13,1,"pattern with formula",42,14,0,0,NA,1,9551,0,8587,"CPRD GOLD"
13,13,NA,"pattern wrong route",639,30,0,0,NA,1,9551,0,8587,"CPRD GOLD"
14,14,1,"pattern with formula",3797,62,129906336,0,NA,1,8576,0,45744809,"CPRD GOLD"
14,14,NA,"pattern wrong route",2637,103,27779536,0,NA,1,8576,0,45744809,"CPRD GOLD"
15,15,1,"pattern with formula",271036,3316,28841331,0,NA,1,8576,1,8587,"CPRD GOLD"
15,15,NA,"pattern wrong route",57031,1104,3672729,0,NA,1,8576,1,8587,"CPRD GOLD"
16,16,1,"pattern with formula",2993,125,0,0,NA,1,8587,1,8587,"CPRD GOLD"
16,16,NA,"pattern wrong route",1583,43,0,0,NA,1,8587,1,8587,"CPRD GOLD"
17,17,1,"pattern with formula",5629,45,0,0,NA,1,8576,1,45744809,"CPRD GOLD"
17,17,NA,"pattern wrong route",1671,63,0,0,NA,1,8576,1,45744809,"CPRD GOLD"
18,NA,NA,"pattern with no formula",7,1,0,1,9276,0,NA,0,NA,"CPRD GOLD"
19,NA,NA,"pattern with no formula",16,4,0,1,9414,0,NA,0,NA,"CPRD GOLD"
20,NA,NA,"pattern with no formula",4,1,0,1,45744809,0,NA,0,NA,"CPRD GOLD"
21,NA,NA,"pattern with no formula",34,5,0,1,45744815,0,NA,0,NA,"CPRD GOLD"
22,NA,NA,"pattern with no formula",4,1,0,1,45744810,0,NA,0,NA,"CPRD GOLD"
23,NA,NA,"pattern with no formula",73,11,0,1,45744812,0,NA,0,NA,"CPRD GOLD"
24,NA,NA,"pattern with no formula",38,4,0,1,9278,0,NA,0,NA,"CPRD GOLD"
25,NA,NA,"pattern with no formula",2841,410,9781,1,9324,0,NA,0,NA,"CPRD GOLD"
26,NA,NA,"pattern with no formula",23,3,0,1,9325,0,NA,0,8576,"CPRD GOLD"
27,NA,NA,"pattern with no formula",10661,925,4,1,9325,0,NA,0,NA,"CPRD GOLD"
28,NA,NA,"pattern with no formula",30,8,0,1,9693,0,NA,0,NA,"CPRD GOLD"
29,NA,NA,"pattern with no formula",2,1,0,1,45744814,0,NA,0,NA,"CPRD GOLD"
30,NA,NA,"pattern with no formula",10,1,0,1,44777647,0,NA,0,NA,"CPRD GOLD"
31,NA,NA,"pattern with no formula",157,3,0,1,44819154,0,NA,0,NA,"CPRD GOLD"
32,NA,NA,"pattern with no formula",5,1,0,1,8576,0,NA,0,45744809,"CPRD GOLD"
33,NA,NA,"pattern with no formula",10,1,0,1,8576,0,NA,0,8576,"CPRD GOLD"
34,NA,NA,"pattern with no formula",2,1,0,1,8587,1,8554,0,NA,"CPRD GOLD"
35,NA,NA,"pattern with no formula",124,6,0,1,9573,0,NA,0,NA,"CPRD GOLD"
36,NA,NA,"pattern with no formula",2,1,0,1,9367,0,NA,0,NA,"CPRD GOLD"
37,NA,NA,"pattern with no formula",22,2,0,1,9379,0,NA,0,NA,"CPRD GOLD"
38,NA,NA,"pattern with no formula",5,2,0,1,32407,0,NA,0,NA,"CPRD GOLD"
