"","drug_concept_id","denominator_value","denominator_unit_concept_id","numerator_value","numerator_unit_concept_id","concept_name","quantity","n"
"1",21023018,NA,8505,0.075,8576,"Fentanyl 0.075 MG/HR Transdermal System [Durogesic] by Janssen",0,5
"2",21024459,NA,8505,0.01,8576,"Buprenorphine 0.01 MG/HR Transdermal System [BuTrans] by Napp",0,1
"3",21052468,NA,8505,0.1,8576,"Fentanyl 0.1 MG/HR Transdermal System [Durogesic] by Janssen",0,21
"4",21073591,NA,8505,0.005,8576,"Buprenorphine 0.005 MG/HR Transdermal System [BuTrans] by Napp",0,1
"5",21112816,NA,8505,0.02,8576,"Buprenorphine 0.02 MG/HR Transdermal System [BuTrans] by Napp",0,1
"6",21130821,NA,8505,0.025,8576,"Fentanyl 0.025 MG/HR Transdermal System [Durogesic] by Janssen",0,3
"7",42902404,NA,8505,0.012,8576,"fentanyl 0.012 MG/HR Transdermal System",0,1
"8",42902413,NA,8505,0.005,8576,"buprenorphine 0.005 MG/HR Transdermal System",0,2
"9",42902544,NA,8505,0.01,8576,"buprenorphine 0.01 MG/HR Transdermal System",0,1
"10",42902727,NA,8505,0.035,8576,"buprenorphine 0.035 MG/HR Transdermal System",0,1
"11",42902803,NA,8505,0.025,8576,"fentanyl 0.025 MG/HR Transdermal System",0,7
"12",42903228,NA,8505,0.05,8576,"fentanyl 0.05 MG/HR Transdermal System",0,18
"13",21022994,NA,8505,0.05,8576,"Fentanyl 0.05 MG/HR Transdermal System [Matrifen] by TEVA",1,234
"14",21023007,NA,8505,0.025,8576,"Fentanyl 0.025 MG/HR Transdermal System [Mezolar Matrix] by Sandoz",1,43
"15",21023018,NA,8505,0.075,8576,"Fentanyl 0.075 MG/HR Transdermal System [Durogesic] by Janssen",1,194
"16",21024459,NA,8505,0.01,8576,"Buprenorphine 0.01 MG/HR Transdermal System [BuTrans] by Napp",1,9581
"17",21032778,NA,8505,0.1,8576,"Fentanyl 0.1 MG/HR Transdermal System [Matrifen] by TEVA",1,243
"18",21032781,NA,8505,0.012,8576,"Fentanyl 0.012 MG/HR Transdermal System [Durogesic] by Janssen",1,198
"19",21034148,NA,8505,0.035,8576,"Buprenorphine 0.035 MG/HR Transdermal System [Transtec] by Napp",1,178
