"","drug_concept_id","denominator_value","denominator_unit_concept_id","numerator_value","numerator_unit_concept_id","concept_name","quantity","n"
"1",588700,2.5,8587,22.5,8576,"2.5 ML Sodium Chloride 9 MG/ML Inhalant Solution",0,34
"2",2029727,2,8587,0.5,8576,"2 ML fluticasone 0.25 MG/ML Inhalation Solution [FLIXOTIDE NEBULES] by Glaxosmithkline",0,2
"3",2029821,2,8587,0.5,8576,"2 ML ipratropium 0.25 MG/ML Inhalation Solution [ATROVENT UDV] by Boehringer Ingelheim",0,471
"4",19133377,1,8587,0.01,8576,"1 ML hepatitis B surface antigen vaccine 0.01 MG/ML Prefilled Syringe",0,171
"5",21029632,0.2,8587,4,8576,"0.2 ML dorzolamide 20 MG/ML / Timolol 5 MG/ML Ophthalmic Solution",0,183
"6",21029632,0.2,8587,1,8576,"0.2 ML dorzolamide 20 MG/ML / Timolol 5 MG/ML Ophthalmic Solution",0,183
"7",21029634,0.2,8587,0.01,8576,"0.2 ML latanoprost 0.05 MG/ML Ophthalmic Solution",0,877
"8",21029665,0.4,8587,4,8576,"0.4 ML Carboxymethylcellulose 10 MG/ML Ophthalmic Solution",0,310
"9",21029669,0.4,8587,0.4,8576,"0.4 ML Dexamethasone 1 MG/ML Ophthalmic Solution",0,23
"10",21029689,0.5,8587,12.5,8576,"0.5 ML Phenylephrine 25 MG/ML Ophthalmic Solution",0,1
"11",21029690,0.5,8587,2.5,8576,"0.5 ML Chloramphenicol 5 MG/ML Ophthalmic Solution",0,5
"12",21029723,0.5,8587,1.5,8576,"0.5 ML hypromellose 3 MG/ML Ophthalmic Solution",0,67
"13",21030099,2.5,8587,5,8576,"2.5 ML Albuterol 2 MG/ML Inhalant Solution [Salamol] by TEVA",0,400
"14",21038562,2,8587,20,8576,"2 ML Cromolyn 10 MG/ML Inhalant Solution [Intal] by Aventis",0,83
"15",21038585,2,8587,0.5,8576,"2 ML Budesonide 0.25 MG/ML Inhalant Solution",0,87
"16",21039562,0.5,8587,5,8576,"0.5 ML Tetracaine 10 MG/ML Ophthalmic Solution",0,1
"17",21039571,0.5,8587,1,8576,"0.5 ML hyaluronate 2 MG/ML Ophthalmic Solution",0,1
"18",21039582,0.5,8587,1.6,8576,"0.5 ML hypromellose 3.2 MG/ML Ophthalmic Solution",0,9
"19",21039598,0.5,8587,5,8576,"0.5 ML Cyclopentolate 10 MG/ML Ophthalmic Solution [Minims cyclopentolate hydrochloride] by Bausch & Lomb",0,26
"20",21048409,2,8587,5,8576,"2 ML Terbutaline 2.5 MG/ML Inhalant Solution",0,110
"21",21049312,0.2,8587,4,8576,"0.2 ML dorzolamide 20 MG/ML Ophthalmic Solution",0,206
"22",21049367,0.5,8587,2.5,8576,"0.5 ML prednisolone 5 MG/ML Ophthalmic Solution",0,35
"23",21049378,0.5,8587,0.5,8576,"0.5 ML Metipranolol 1 MG/ML Ophthalmic Solution",0,1
"24",21057910,1,8587,40,8576,"1 ML Triamcinolone 40 MG/ML Prefilled Syringe [Kenalog]",0,303
"25",21059076,0.2,8587,0.01,8576,"0.2 ML latanoprost 0.05 MG/ML Ophthalmic Solution [Monopost] by Thea",0,293
"26",21059115,0.4,8587,0.4,8576,"0.4 ML Dexamethasone 1 MG/ML Ophthalmic Solution [Dexafree] by Thea",0,1
"27",21068101,2,8587,5,8576,"2 ML Terbutaline 2.5 MG/ML Inhalant Solution [Bricanyl] by Astrazeneca",0,77
"28",21068177,4,8587,1.25,8576,"4 ML Fenoterol 0.312 MG/ML / Ipratropium 0.125 MG/ML Inhalant Solution [Duovent] by Boehringer Ingelheim",0,15
"29",21068177,4,8587,0.5,8576,"4 ML Fenoterol 0.312 MG/ML / Ipratropium 0.125 MG/ML Inhalant Solution [Duovent] by Boehringer Ingelheim",0,15
"30",21069024,0.3,8587,0.0045,8576,"0.3 ML tafluprost 0.015 MG/ML Ophthalmic Solution",0,176
"31",21069026,0.4,8587,2,8576,"0.4 ML Levobunolol 5 MG/ML Ophthalmic Solution [Betagan] by Allergan",0,193
"32",21069028,0.4,8587,2,8576,"0.4 ML Carboxymethylcellulose 5 MG/ML Ophthalmic Solution [Celluvisc] by Allergan",0,489
"33",21069067,0.5,8587,5,8576,"0.5 ML Tetracaine 10 MG/ML Ophthalmic Solution [Minims tetracaine hydrochloride] by Bausch & Lomb",0,1
"34",21069068,0.5,8587,2.5,8576,"0.5 ML Tetracaine 5 MG/ML Ophthalmic Solution [Minims tetracaine hydrochloride] by Bausch & Lomb",0,2
"35",21077658,1,8587,1,8576,"1 ML Melatonin 1 MG/ML Oral Solution",0,17
"36",21078689,50,8587,600,8576,"50 ML Penicillin G 12 MG/ML Injectable Solution",0,3
"37",21078758,0.1,8587,5,8576,"0.1 ML zolmitriptan 50 MG/ML Nasal Spray",0,85
"38",21078831,0.5,8587,0.5,8576,"0.5 ML Dexamethasone 1 MG/ML Ophthalmic Solution [Minims dexamethasone] by Bausch & Lomb",0,38
"39",21088550,0.5,8587,1.5,8576,"0.5 ML Gentamicin 3 MG/ML Ophthalmic Solution",0,1
