"route","number_concepts","number_records","cdm_name"
"implant",39,1019967,"CPRD GOLD"
"inhalable",657,121595659,"CPRD GOLD"
"injectable",3715,37449336,"CPRD GOLD"
"NONE",1,2504,"CPRD GOLD"
"oral",17263,1835059756,"CPRD GOLD"
"other",80,1523254,"CPRD GOLD"
"parenteral",10,264002,"CPRD GOLD"
"topical",127,1724820,"CPRD GOLD"
"topical - buccal",3,6199,"CPRD GOLD"
"topical - cutaneous",2646,119153853,"CPRD GOLD"
"topical - nasal",9,225240,"CPRD GOLD"
"topical - ophtalmologic",954,51423821,"CPRD GOLD"
"topical - otic",105,4569096,"CPRD GOLD"
"topical - rectal",97,1320327,"CPRD GOLD"
"topical - vaginal",157,5691614,"CPRD GOLD"
"transdermal",368,9927328,"CPRD GOLD"
"transmucosal - buccal",327,10250020,"CPRD GOLD"
"transmucosal - nasal",368,23823085,"CPRD GOLD"
"transmucosal - rectal",230,3277830,"CPRD GOLD"
"transmucosal - sublingual",71,1970345,"CPRD GOLD"
NA,1686,272160418,"CPRD GOLD"
