"pattern_file_id","pattern_id","formula_id","validity","number_concepts","number_ingredients","number_records","amount_numeric","amount_unit_concept_id","numerator_numeric","numerator_unit_concept_id","denominator_numeric","denominator_unit_concept_id","cdm_name"
1,1,2,"pattern with formula",649,50,5261,1,8718,0,NA,0,NA,"PHARMETRICS"
1,1,NA,"pattern wrong route",378,51,0,1,8718,0,NA,0,NA,"PHARMETRICS"
2,2,2,"pattern with formula",3,2,0,1,9655,0,NA,0,NA,"PHARMETRICS"
2,2,NA,"pattern wrong route",3,2,0,1,9655,0,NA,0,NA,"PHARMETRICS"
3,3,2,"pattern with formula",147,12,3336495,1,9551,0,NA,0,NA,"PHARMETRICS"
3,3,NA,"pattern wrong route",101,12,15,1,9551,0,NA,0,NA,"PHARMETRICS"
4,4,2,"pattern with formula",678539,5276,448846013,1,8576,0,NA,0,NA,"PHARMETRICS"
4,4,NA,"pattern wrong route",126649,5300,17177131,1,8576,0,NA,0,NA,"PHARMETRICS"
5,5,2,"pattern with formula",586,36,6,1,8587,0,NA,0,NA,"PHARMETRICS"
5,5,NA,"pattern wrong route",170,37,0,1,8587,0,NA,0,NA,"PHARMETRICS"
6,6,3,"pattern with formula",6,2,0,0,NA,1,9655,1,8505,"PHARMETRICS"
7,7,3,"pattern with formula",6901,230,38512151,0,NA,1,8576,1,8505,"PHARMETRICS"
7,7,NA,"pattern wrong route",10,4,1439328,0,NA,1,8576,1,8505,"PHARMETRICS"
8,8,4,"pattern with formula",2,2,0,0,NA,1,9655,0,8505,"PHARMETRICS"
8,8,NA,"pattern wrong route",3,2,0,0,NA,1,9655,0,8505,"PHARMETRICS"
9,9,4,"pattern with formula",4275,29,389880,0,NA,1,8576,0,8505,"PHARMETRICS"
9,9,NA,"pattern wrong route",1074,29,0,0,NA,1,8576,0,8505,"PHARMETRICS"
10,10,1,"pattern with formula",16819,1280,100,0,NA,1,8576,0,8576,"PHARMETRICS"
10,10,NA,"pattern wrong route",65482,2219,7534726,0,NA,1,8576,0,8576,"PHARMETRICS"
11,11,1,"pattern with formula",139975,4309,34334021,0,NA,1,8576,0,8587,"PHARMETRICS"
11,11,NA,"pattern wrong route",123692,4895,22131757,0,NA,1,8576,0,8587,"PHARMETRICS"
12,12,1,"pattern with formula",634,102,13,0,NA,1,8587,0,8587,"PHARMETRICS"
12,12,NA,"pattern wrong route",1993,164,292484,0,NA,1,8587,0,8587,"PHARMETRICS"
13,13,1,"pattern with formula",42,14,43958,0,NA,1,9551,0,8587,"PHARMETRICS"
13,13,NA,"pattern wrong route",644,30,7855390,0,NA,1,9551,0,8587,"PHARMETRICS"
14,14,1,"pattern with formula",3795,62,11780232,0,NA,1,8576,0,45744809,"PHARMETRICS"
14,14,NA,"pattern wrong route",2635,103,106356,0,NA,1,8576,0,45744809,"PHARMETRICS"
15,15,1,"pattern with formula",270960,3309,72533126,0,NA,1,8576,1,8587,"PHARMETRICS"
15,15,NA,"pattern wrong route",57031,1104,290925,0,NA,1,8576,1,8587,"PHARMETRICS"
16,16,1,"pattern with formula",2993,125,760,0,NA,1,8587,1,8587,"PHARMETRICS"
16,16,NA,"pattern wrong route",1583,43,0,0,NA,1,8587,1,8587,"PHARMETRICS"
17,17,1,"pattern with formula",5627,45,12238867,0,NA,1,8576,1,45744809,"PHARMETRICS"
17,17,NA,"pattern wrong route",1671,63,234226,0,NA,1,8576,1,45744809,"PHARMETRICS"
18,NA,NA,"pattern with no formula",7,1,0,1,9276,0,NA,0,NA,"PHARMETRICS"
19,NA,NA,"pattern with no formula",16,4,0,1,9414,0,NA,0,NA,"PHARMETRICS"
20,NA,NA,"pattern with no formula",4,1,0,1,45744809,0,NA,0,NA,"PHARMETRICS"
21,NA,NA,"pattern with no formula",34,5,0,1,45744815,0,NA,0,NA,"PHARMETRICS"
22,NA,NA,"pattern with no formula",4,1,1875,1,45744810,0,NA,0,NA,"PHARMETRICS"
23,NA,NA,"pattern with no formula",73,11,4,1,45744812,0,NA,0,NA,"PHARMETRICS"
24,NA,NA,"pattern with no formula",38,4,0,1,9278,0,NA,0,NA,"PHARMETRICS"
25,NA,NA,"pattern with no formula",2841,410,0,1,9324,0,NA,0,NA,"PHARMETRICS"
26,NA,NA,"pattern with no formula",23,3,0,1,9325,0,NA,0,8576,"PHARMETRICS"
27,NA,NA,"pattern with no formula",10661,925,0,1,9325,0,NA,0,NA,"PHARMETRICS"
28,NA,NA,"pattern with no formula",30,8,3030,1,9693,0,NA,0,NA,"PHARMETRICS"
29,NA,NA,"pattern with no formula",2,1,0,1,45744814,0,NA,0,NA,"PHARMETRICS"
30,NA,NA,"pattern with no formula",10,1,0,1,44777647,0,NA,0,NA,"PHARMETRICS"
31,NA,NA,"pattern with no formula",157,3,0,1,44819154,0,NA,0,NA,"PHARMETRICS"
32,NA,NA,"pattern with no formula",5,1,0,1,8576,0,NA,0,45744809,"PHARMETRICS"
33,NA,NA,"pattern with no formula",10,1,0,1,8576,0,NA,0,8576,"PHARMETRICS"
34,NA,NA,"pattern with no formula",2,1,0,1,8587,1,8554,0,NA,"PHARMETRICS"
35,NA,NA,"pattern with no formula",124,6,0,1,9573,0,NA,0,NA,"PHARMETRICS"
36,NA,NA,"pattern with no formula",2,1,0,1,9367,0,NA,0,NA,"PHARMETRICS"
37,NA,NA,"pattern with no formula",22,2,0,1,9379,0,NA,0,NA,"PHARMETRICS"
38,NA,NA,"pattern with no formula",5,2,4282,1,32407,0,NA,0,NA,"PHARMETRICS"
39,NA,NA,"pattern with no formula",24235,322,1226610,1,8510,0,NA,0,NA,"PHARMETRICS"
40,NA,NA,"pattern with no formula",7,1,0,0,9276,0,NA,0,NA,"PHARMETRICS"
41,NA,NA,"pattern with no formula",2,1,0,0,45744811,0,NA,0,NA,"PHARMETRICS"
42,NA,NA,"pattern with no formula",26,3,2552,0,45744815,0,NA,0,NA,"PHARMETRICS"
43,NA,NA,"pattern with no formula",17,2,0,0,45744810,0,NA,0,NA,"PHARMETRICS"
44,NA,NA,"pattern with no formula",102,21,1788,0,45744812,0,NA,0,NA,"PHARMETRICS"
45,NA,NA,"pattern with no formula",2,1,0,0,9278,0,NA,0,NA,"PHARMETRICS"
46,NA,NA,"pattern with no formula",1,1,0,0,9302,0,NA,0,NA,"PHARMETRICS"
47,NA,NA,"pattern with no formula",422,143,0,0,9324,0,NA,0,NA,"PHARMETRICS"
48,NA,NA,"pattern with no formula",5706,568,132,0,9325,0,NA,0,NA,"PHARMETRICS"
49,NA,NA,"pattern with no formula",15,3,0,0,9693,0,NA,0,NA,"PHARMETRICS"
50,NA,NA,"pattern with no formula",182,21,0,0,8718,0,NA,0,NA,"PHARMETRICS"
51,NA,NA,"pattern with no formula",15,6,1008,0,44819154,0,NA,0,NA,"PHARMETRICS"
52,NA,NA,"pattern with no formula",205864,32530,30270051,0,8576,0,NA,0,NA,"PHARMETRICS"
53,NA,NA,"pattern with no formula",166,23,18938,0,8587,0,NA,0,NA,"PHARMETRICS"
