"","drug_concept_id","denominator_value","denominator_unit_concept_id","numerator_value","numerator_unit_concept_id","concept_name","quantity","n"
"1",19011786,NA,8576,0.0075,8576,"metronidazole 0.0075 MG/MG Vaginal Gel",0.04,1
"2",19011786,NA,8576,0.0075,8576,"metronidazole 0.0075 MG/MG Vaginal Gel",0.07,1
"3",911065,NA,8576,0.2,8576,"zinc oxide 0.2 MG/MG Topical Ointment",0.3,14
"4",911065,NA,8576,0.2,8576,"zinc oxide 0.2 MG/MG Topical Ointment",0.4,4
"5",911065,NA,8576,0.2,8576,"zinc oxide 0.2 MG/MG Topical Ointment",0.45,2
"6",45775467,NA,8576,0.05,8576,"benzoyl peroxide 0.05 MG/MG / clindamycin phosphate 0.012 MG/MG Topical Gel",0.45,1
"7",45775467,NA,8576,0.012,8576,"benzoyl peroxide 0.05 MG/MG / clindamycin phosphate 0.012 MG/MG Topical Gel",0.45,1
"8",40233960,NA,8576,0.001,8576,"triamcinolone acetonide 0.001 MG/MG Oral Paste",0.5,1
"9",911065,NA,8576,0.2,8576,"zinc oxide 0.2 MG/MG Topical Ointment",0.6,9
"10",19076953,NA,8576,0.005,8576,"erythromycin 0.005 MG/MG Ophthalmic Ointment",0.88,2
"11",911065,NA,8576,0.2,8576,"zinc oxide 0.2 MG/MG Topical Ointment",0.99,4
"12",792576,NA,8576,0.206,8576,"lanolin 0.157 MG/MG / menthol 0.0044 MG/MG / petrolatum 0.24 MG/MG / zinc oxide 0.206 MG/MG Topical Ointment [Calmoseptine]",1,124
"13",792576,NA,8576,0.157,8576,"lanolin 0.157 MG/MG / menthol 0.0044 MG/MG / petrolatum 0.24 MG/MG / zinc oxide 0.206 MG/MG Topical Ointment [Calmoseptine]",1,124
"14",792576,NA,8576,0.0044,8576,"lanolin 0.157 MG/MG / menthol 0.0044 MG/MG / petrolatum 0.24 MG/MG / zinc oxide 0.206 MG/MG Topical Ointment [Calmoseptine]",1,124
"15",792576,NA,8576,0.24,8576,"lanolin 0.157 MG/MG / menthol 0.0044 MG/MG / petrolatum 0.24 MG/MG / zinc oxide 0.206 MG/MG Topical Ointment [Calmoseptine]",1,124
"16",793164,NA,8576,0.97,8576,"petrolatum 0.97 MG/MG Topical Ointment [Cloverine]",1,2
"17",793978,NA,8576,0.2,8576,"benzocaine 0.2 MG/MG Oral Gel [LolliCaine]",1,56
"18",794067,NA,8576,0.72,8576,"lanolin 0.72 MG/MG Topical Ointment",1,5
"19",902405,NA,8576,0.048,8576,"camphor 0.048 MG/MG / Eucalyptus oil 0.012 MG/MG / menthol 0.026 MG/MG Topical Ointment",1,2
"20",902405,NA,8576,0.012,8576,"camphor 0.048 MG/MG / Eucalyptus oil 0.012 MG/MG / menthol 0.026 MG/MG Topical Ointment",1,2
"21",902405,NA,8576,0.026,8576,"camphor 0.048 MG/MG / Eucalyptus oil 0.012 MG/MG / menthol 0.026 MG/MG Topical Ointment",1,2
"22",902435,NA,8576,0.2,8576,"menthol 0.0044 MG/MG / zinc oxide 0.2 MG/MG Topical Ointment",1,1
"23",902435,NA,8576,0.0044,8576,"menthol 0.0044 MG/MG / zinc oxide 0.2 MG/MG Topical Ointment",1,1
"24",903222,NA,8576,0.01,8576,"tolnaftate 0.01 MG/MG Topical Powder",1,5
"25",903679,NA,8576,5e-04,8576,"tretinoin 0.0005 MG/MG Topical Gel",1,15
"26",903711,NA,8576,0.00025,8576,"tretinoin 0.00025 MG/MG Topical Gel",1,220
"27",903753,NA,8576,0.001,8576,"tretinoin 0.001 MG/MG Topical Gel",1,113
"28",908708,NA,8576,0.15,8576,"mineral oil 0.15 MG/MG / petrolatum 0.85 MG/MG Ophthalmic Ointment",1,49
"29",908708,NA,8576,0.85,8576,"mineral oil 0.15 MG/MG / petrolatum 0.85 MG/MG Ophthalmic Ointment",1,49
"30",908944,NA,8576,5e-05,8576,"calcipotriene 0.00005 MG/MG Topical Ointment",1,5
"31",908951,NA,8576,5e-04,8576,"betamethasone 0.0005 MG/MG / calcipotriene 0.00005 MG/MG Topical Ointment",1,8
"32",908951,NA,8576,5e-05,8576,"betamethasone 0.0005 MG/MG / calcipotriene 0.00005 MG/MG Topical Ointment",1,8
"33",908984,NA,8576,5e-04,8576,"betamethasone 0.0005 MG/MG / calcipotriene 0.00005 MG/MG Topical Ointment [Taclonex]",1,15
"34",908984,NA,8576,5e-05,8576,"betamethasone 0.0005 MG/MG / calcipotriene 0.00005 MG/MG Topical Ointment [Taclonex]",1,15
"35",911065,NA,8576,0.2,8576,"zinc oxide 0.2 MG/MG Topical Ointment",1,154
"36",911101,NA,8576,0.4,8576,"zinc oxide 0.4 MG/MG Topical Ointment",1,8
"37",911127,NA,8576,0.15,8576,"zinc oxide 0.15 MG/MG Topical Ointment",1,2
"38",911466,NA,8576,0.128,8576,"zinc oxide 0.128 MG/MG Topical Ointment [Triple Paste]",1,6
"39",912477,NA,8576,1e-04,8576,"becaplermin 0.0001 MG/MG Topical Gel [Regranex]",1,3
"40",917339,NA,8576,0.0025,8576,"desoximetasone 0.0025 MG/MG Topical Ointment",1,2
"41",917946,NA,8576,0.1,8576,"benzocaine 0.1 MG/MG Oral Gel [Anbesol]",1,7
"42",918363,NA,8576,0.05,8576,"benzoyl peroxide 0.05 MG/MG / erythromycin 0.03 MG/MG Topical Gel",1,75
"43",918363,NA,8576,0.03,8576,"benzoyl peroxide 0.05 MG/MG / erythromycin 0.03 MG/MG Topical Gel",1,75
"44",918634,NA,8576,0.1,8576,"benzoyl peroxide 0.1 MG/MG Topical Gel",1,31
"45",919609,NA,8576,0.003,8576,"gentamicin 0.003 MG/MG Ophthalmic Ointment [Gentak]",1,105
"46",921959,NA,8576,0.15,8576,"sinecatechins 0.15 MG/MG Topical Ointment [Veregen]",1,2
"47",923876,NA,8576,0.01,8576,"dibucaine 0.01 MG/MG Rectal Ointment",1,6
"48",927329,NA,8576,0.05,8576,"potassium nitrate 0.05 MG/MG / sodium fluoride 0.011 MG/MG Toothpaste",1,17
"49",927329,NA,8576,0.011,8576,"potassium nitrate 0.05 MG/MG / sodium fluoride 0.011 MG/MG Toothpaste",1,17
"50",935550,NA,8576,0.02,8576,"petrolatum 0.55 MG/MG / resorcinol 0.02 MG/MG Topical Ointment [Resinol]",1,3
"51",935550,NA,8576,0.55,8576,"petrolatum 0.55 MG/MG / resorcinol 0.02 MG/MG Topical Ointment [Resinol]",1,3
"52",947417,NA,8576,5e-04,8576,"tazarotene 0.0005 MG/MG Topical Gel [Tazorac]",1,12
"53",947418,NA,8576,0.001,8576,"tazarotene 0.001 MG/MG Topical Gel [Tazorac]",1,10
"54",950137,NA,8576,0.0077,8576,"ciclopirox 0.0077 MG/MG Topical Gel",1,21
"55",950667,NA,8576,3e-04,8576,"tacrolimus 0.0003 MG/MG Topical Ointment",1,48
"56",950669,NA,8576,0.001,8576,"tacrolimus 0.001 MG/MG Topical Ointment",1,139
"57",964231,NA,8576,0.018,8576,"lidocaine 0.018 MG/MG Medicated Patch [ZTlido]",1,172
"58",965019,NA,8576,0.06,8576,"salicylic acid 0.06 MG/MG Topical Gel",1,3
"59",969503,NA,8576,0.022,8576,"nonoxynol-9 0.022 MG/MG Vaginal Gel",1,3
"60",981804,NA,8576,0.003,8576,"adapalene 0.003 MG/MG Topical Gel",1,61
"61",981807,NA,8576,0.025,8576,"adapalene 0.001 MG/MG / benzoyl peroxide 0.025 MG/MG Topical Gel",1,149
"62",981807,NA,8576,0.001,8576,"adapalene 0.001 MG/MG / benzoyl peroxide 0.025 MG/MG Topical Gel",1,149
"63",985783,NA,8576,0.02,8576,"ketoconazole 0.02 MG/MG Topical Gel [Xolegel]",1,1
"64",997958,NA,8576,0.05,8576,"benzoyl peroxide 0.05 MG/MG / clindamycin 0.01 MG/MG Topical Gel",1,34
"65",997958,NA,8576,0.01,8576,"benzoyl peroxide 0.05 MG/MG / clindamycin 0.01 MG/MG Topical Gel",1,34
"66",1136754,NA,8576,0.0025,8576,"phenylephrine 0.0025 MG/MG Rectal Suppository",1,4
"67",1361859,NA,8576,0.02,8576,"nitroglycerin 0.02 MG/MG Topical Ointment",1,436
"68",1366509,NA,8576,0.0038,8576,"loteprednol etabonate 0.0038 MG/MG Ophthalmic Gel [Lotemax]",1,13
"69",1511242,NA,8576,0.206,8576,"menthol 0.0044 MG/MG / zinc oxide 0.206 MG/MG Topical Ointment",1,3
"70",1511242,NA,8576,0.0044,8576,"menthol 0.0044 MG/MG / zinc oxide 0.206 MG/MG Topical Ointment",1,3
"71",1548924,NA,8576,6e-04,8576,"estradiol 0.0006 MG/MG Topical Gel [Estrogel]",1,124
"72",1548965,NA,8576,0.001,8576,"estradiol 0.001 MG/MG Topical Gel [Divigel]",1,83
"73",1560525,NA,8576,0.4,8576,"glucose 0.4 MG/MG Oral Gel",1,5
"74",1593140,NA,8576,0.04,8576,"lidocaine hydrochloride 0.04 MG/MG Topical Gel [Alocane]",1,410
"75",1593406,NA,8576,0.02,8576,"crisaborole 0.02 MG/MG Topical Ointment [Eucrisa]",1,33
"76",1594300,NA,8576,0.035,8576,"calamine 0.035 MG/MG / menthol 0.002 MG/MG / petrolatum 0.69 MG/MG / zinc oxide 0.165 MG/MG Paste",1,1
"77",1594300,NA,8576,0.165,8576,"calamine 0.035 MG/MG / menthol 0.002 MG/MG / petrolatum 0.69 MG/MG / zinc oxide 0.165 MG/MG Paste",1,1
"78",1594300,NA,8576,0.002,8576,"calamine 0.035 MG/MG / menthol 0.002 MG/MG / petrolatum 0.69 MG/MG / zinc oxide 0.165 MG/MG Paste",1,1
"79",1594300,NA,8576,0.69,8576,"calamine 0.035 MG/MG / menthol 0.002 MG/MG / petrolatum 0.69 MG/MG / zinc oxide 0.165 MG/MG Paste",1,1
"80",1703742,NA,8576,0.05,8576,"acyclovir 0.05 MG/MG Topical Ointment",1,48
"81",1707344,NA,8576,0.0075,8576,"metronidazole 0.0075 MG/MG Topical Gel",1,104
"82",1707472,NA,8576,0.01,8576,"metronidazole 0.01 MG/MG Topical Gel",1,85
"83",1707479,NA,8576,0.0075,8576,"metronidazole 0.0075 MG/MG Vaginal Gel [MetroGel]",1,14
"84",1718310,NA,8576,0.03,8576,"camphor 0.03 MG/MG Topical Gel",1,1
"85",1718524,NA,8576,0.02,8576,"tetracaine 0.02 MG/MG Topical Ointment",1,1
"86",1750296,NA,8576,0.1,8576,"povidone-iodine 0.1 MG/MG Topical Ointment",1,597
"87",19002273,NA,8576,0.025,8576,"hydrocortisone 0.025 MG/MG Topical Ointment",1,325
"88",19002365,NA,8576,5e-04,8576,"fluocinonide 0.0005 MG/MG Topical Ointment",1,110
"89",19002487,NA,8576,0.02,8576,"mupirocin 0.02 MG/MG Topical Ointment [Bactroban]",1,7
"90",19008723,NA,8576,0.02,8576,"mupirocin 0.02 MG/MG Topical Ointment",1,5157
